,date,open,high,low,close,adj close,volume,close_delta,rolling_std,daily_k_stds,event_flag,return,net_return
170,2014-11-19,6.0,6.0,5.55,5.78,5.78,141600,-0.030201342281879096,0.041034719500721926,-0.7359948514171704,0,0.0,-0.0
171,2014-11-20,5.69,5.742,5.629,5.69,5.69,8400,-0.01557093425605538,0.03687910048698164,-0.4222156736591755,0,0.0,-0.0
172,2014-11-21,5.7,5.7,5.2,5.33,5.33,63200,-0.0632688927943762,0.04440867559083863,-1.4246966826326244,0,0.0,-0.0
173,2014-11-24,5.38,5.575,5.38,5.38,5.38,13300,0.009380863039399667,0.04302872333961936,0.21801397557993762,0,0.0,-0.0
174,2014-11-25,5.61,5.61,5.42,5.49,5.49,12500,0.020446096654275214,0.04249617250409735,0.48112795693080035,0,0.0,-0.0
175,2014-11-26,5.64,5.67,5.41,5.64,5.64,33000,0.027322404371584508,0.041331276373292855,0.6610588099146993,0,0.0,-0.0
176,2014-11-28,5.64,5.991,5.5,5.92,5.92,44100,0.049645390070921946,0.033307012440652685,1.4905386713798308,0,0.0,-0.0
177,2014-12-01,5.92,5.92,5.75,5.83,5.83,27800,-0.01520270270270263,0.03340012937660228,-0.45516897648164645,0,0.0,-0.0
178,2014-12-02,5.87,5.95,5.76,5.86,5.86,33800,0.005145797598627766,0.03327548534591198,0.15464230033416917,0,0.0,-0.0
179,2014-12-03,5.82,6.25,5.745,6.15,6.15,262200,0.04948805460750849,0.035657550805523276,1.3878702684157125,0,0.0,-0.0
180,2014-12-04,6.13,6.13,5.92,5.95,5.95,26400,-0.0325203252032521,0.03590931050007047,-0.9056237713945602,0,0.0,-0.0
181,2014-12-05,5.99,6.091,5.95,6.06,6.06,26000,0.018487394957983128,0.035513919301460355,0.5205675780544704,0,0.0,-0.0
182,2014-12-08,6.08,6.11,6.0,6.018,6.018,21400,-0.006930693069306937,0.026462167732197655,-0.2619094980973182,0,0.0,-0.0
183,2014-12-09,6.0,6.86,5.97,6.81,6.81,133700,0.13160518444665992,0.04592051460607504,2.865934442930856,0,0.0,-0.0
184,2014-12-10,6.87,7.18,6.35,6.35,6.35,97100,-0.0675477239353891,0.054471258655546716,-1.2400617426987035,0,0.0,-0.0
185,2014-12-11,6.35,6.729,6.35,6.55,6.55,53400,0.03149606299212593,0.054583956487252776,0.5770205206630878,0,0.0,-0.0
186,2014-12-12,6.5,6.74,6.425,6.74,6.74,45200,0.02900763358778624,0.05356657615599399,0.5415248774405819,0,0.0,-0.0
