,date,stock_open,stock_close,index_close,index_close_delta,stock_close_delta,net_close_delta,ncd_rolling_std,ncd_rolling_mean,ncd_daily_k_stds,mu_-_k_*_sd,event_flag,return,net_return,roi
968,2013-11-06,15.5,16.5,38.803333,-0.03721776558777409,-0.029411764705882353,0.007806000881891741,0.07621945880837895,0.0028662797591904256,0.10241480330523696,-0.03524344964499905,0,0.0,-0.0,-0.0
969,2013-11-07,15.0,16.0,38.076668,-0.01872687070463777,-0.030303030303030304,-0.011576159598392533,0.0759033012090065,0.0035952309847493316,-0.1525119384006309,-0.03435641961975392,0,0.0,-0.0,-0.0
970,2013-11-08,15.0,16.5,39.639998999999996,0.04105745282123945,0.03125,-0.009807452821239453,0.07455028441626405,0.0012863498511925125,-0.13155486793957608,-0.03598879235693951,0,0.0,-0.0,-0.0
971,2013-11-11,16.5,16.5,40.119999,0.012108981132920917,0.0,-0.012108981132920917,0.07457514755799093,0.0009876395883309825,-0.16237287527329078,-0.03629993419066448,0,0.0,-0.0,-0.0
972,2013-11-12,16.0,16.0,39.653332,-0.0116317799509417,-0.030303030303030304,-0.0186712503520886,0.07430368889296708,-0.000397719041660954,-0.2512829528421415,-0.0375495634881445,0,0.0,-0.0,-0.0
973,2013-11-13,16.0,16.0,40.006668,0.00891062571992686,0.0,-0.00891062571992686,0.07422913807574591,-0.001072909340997913,-0.12004215528993692,-0.03818747837887087,0,0.0,-0.0,-0.0
974,2013-11-14,16.0,16.0,39.98,-0.0006665888796337852,0.0,0.0006665888796337852,0.07266261033803464,0.0011072460212776475,0.009173753551279518,-0.03522405914773968,0,0.0,-0.0,-0.0
975,2013-11-15,16.0,15.0,40.683334,0.01759214607303665,-0.0625,-0.08009214607303665,0.07348024572278582,-0.0011484511293350635,-1.0899820119708787,-0.037888573990727974,1,93.33333333333334,-7.166666666666657,-0.07166666666666657
976,2013-11-18,14.0,16.0,39.683334,-0.024580089724209917,0.06666666666666667,0.09124675639087658,0.07464895117265624,0.001047174581514156,1.2223447879372227,-0.03627730100481397,0,0.0,-0.0,-0.0
977,2013-11-19,15.0,15.0,39.773334999999996,0.0022679798023017366,-0.0625,-0.06476797980230174,0.07513074125011285,-0.000897719247824929,-0.8620702887342331,-0.038463089872881356,1,100.0,-0.5,-0.005
978,2013-11-20,15.0,15.0,40.143333,0.009302664712426115,0.0,-0.009302664712426115,0.07470581179821635,7.168895225579145e-05,-0.12452397595990279,-0.03728121694685239,0,0.0,-0.0,-0.0
979,2013-11-21,15.0,15.0,41.013332,0.021672316048096954,0.0,-0.021672316048096954,0.07379552894779678,0.0013303391660039298,-0.29368061123903627,-0.03556742530789446,0,0.0,-0.0,-0.0
980,2013-11-22,14.5,15.0,41.953334999999996,0.02291944970479349,0.0,-0.02291944970479349,0.07352681624193874,-0.00018239248260687934,-0.31171551926548036,-0.03694580060357625,0,0.0,-0.0,-0.0
981,2013-11-25,14.5,15.0,42.343334000000006,0.009296019017320321,0.0,-0.009296019017320321,0.07072963028329761,-0.0032140785982973596,-0.13143033520868724,-0.03857889373994616,0,0.0,-0.0,-0.0
982,2013-11-26,14.0,15.0,42.846668,0.011886971394363873,0.0,-0.011886971394363873,0.07065871178079167,-0.0038724273087452914,-0.1682307969502963,-0.039201783199141124,0,0.0,-0.0,-0.0
983,2013-11-27,13.0,14.5,43.106667,0.006068126464349586,-0.03333333333333333,-0.03940145979768292,0.07082583532512354,-0.004828244275764012,-0.5563147913019576,-0.04024116193832578,0,0.0,-0.0,-0.0
984,2013-11-29,14.5,15.0,43.496666,0.00904730119821131,0.034482758620689655,0.025435457422478346,0.07073223083197347,-0.003406723036634385,0.3596020813043637,-0.03877283845262112,0,0.0,-0.0,-0.0
985,2013-12-02,15.0,15.0,43.726665000000004,0.005287738605069329,0.0,-0.005287738605069329,0.07061878427256672,-0.0040124881034643055,-0.07487722508306414,-0.03932188023974767,0,0.0,-0.0,-0.0
986,2013-12-03,13.0,13.5,43.186668,-0.012349375375414674,-0.1,-0.08765062462458534,0.0714506958862368,-0.004976600072741863,-1.226728774820359,-0.040701948015860266,1,92.5925925925926,-7.907407407407405,-0.07907407407407405
987,2013-12-04,12.5,13.5,43.169998,-0.0003859987531336695,0.0,0.0003859987531336695,0.0668689321656967,-0.008427518298123797,0.005772467731011326,-0.04186198438097215,0,0.0,-0.0,-0.0
988,2013-12-05,13.5,13.5,42.636665,-0.012354251209369964,0.0,0.012354251209369964,0.06058769276088673,-0.003981215579878318,0.20390694291870168,-0.03427506196032168,0,0.0,-0.0,-0.0
989,2013-12-06,12.5,13.0,42.726665000000004,0.0021108592803870427,-0.037037037037037035,-0.039147896317424075,0.045948241615078746,-0.010327499836472262,-0.8519998794595218,-0.03330162064401163,1,100.0,-0.5,-0.005
990,2013-12-09,13.0,14.5,42.416668,-0.0072553521319766645,0.11538461538461539,0.12263996751659205,0.048391000895534934,-0.005952944231702058,2.5343548438137,-0.030148444679469526,0,0.0,-0.0,-0.0
991,2013-12-10,13.0,14.0,42.113335,-0.0071512689304120275,-0.034482758620689655,-0.027331489690277627,0.044116498022051226,-0.0035445791565636695,-0.6195299018661053,-0.025602828167589284,1,92.85714285714286,-7.642857142857139,-0.07642857142857139
992,2013-12-11,13.0,13.0,40.573334,-0.036568013433274676,-0.07142857142857142,-0.03486055799529675,0.04193444578727072,-0.006223438256984512,-0.8313108076386867,-0.027190661150619872,1,100.0,-0.5,-0.005
993,2013-12-12,13.0,14.5,41.193333,0.015280947826471443,0.11538461538461539,0.10010366755814396,0.04450784033837481,-0.004566746447153547,2.2491243519590465,-0.02682066661634095,0,0.0,-0.0,-0.0
994,2013-12-13,13.5,13.5,41.033333,-0.0038841236760328106,-0.06896551724137931,-0.0650813935653465,0.04525811640925374,-0.0053782210985541985,-1.4380049089281048,-0.02800727930318107,1,103.70370370370371,3.2037037037037095,0.03203703703703709
995,2013-12-16,14.0,14.0,41.126667,0.002274589782896717,0.037037037037037035,0.034762447254140315,0.04379715304192887,-0.006367614747699937,0.7937147700185159,-0.02826619126866437,0,0.0,-0.0,-0.0
996,2013-12-17,13.0,13.5,40.560001,-0.013778553948949909,-0.03571428571428571,-0.0219357317653358,0.0436875237993331,-0.0061444078115237945,-0.5021051746052647,-0.027988169711190343,0,0.0,-0.0,-0.0
997,2013-12-18,12.5,13.5,41.563332,0.024736956983802905,0.0,-0.024736956983802905,0.043191520248078985,-0.0075263883483046865,-0.5727271659279722,-0.029122148472344178,0,0.0,-0.0,-0.0
998,2013-12-19,12.5,13.5,41.59,0.0006416232461824956,0.0,-0.0006416232461824956,0.04311892785517554,-0.007766599175826074,-0.014880315399713306,-0.029326063103413846,0,0.0,-0.0,-0.0
999,2013-12-20,13.0,12.5,42.496666,0.021800096176965475,-0.07407407407407407,-0.09587417025103954,0.04495379142382887,-0.009627424155884199,-2.1327271229945484,-0.03210431986779863,1,100.0,-0.5,-0.005
1000,2013-12-23,12.5,13.0,43.290001000000004,0.0186681703454103,0.04,0.021331829654589702,0.04515717996760833,-0.008814055620610068,0.4723906512738666,-0.03139264560441424,0,0.0,-0.0,-0.0
1001,2013-12-24,11.5,12.0,43.403332,0.0026179486574739322,-0.07692307692307693,-0.07954102558055086,0.046288492813742615,-0.010130532145353503,-1.7183757937552868,-0.03327477855222481,1,100.0,-0.5,-0.005
